mouse,sex,Mean.BP,Mean.HR,Heart Wt
1,0,147.2,718.1,0.083
2,0,123.7,634,0.087
3,0,114.7,652.9,0.081
4,0,113.6,593.2,0.091
5,0,98,598.5,
6,1,117.2,626,0.113
7,1,,637.1,0.105
8,1,120,653.5,0.101
9,1,101.8,583.3,
10,1,122.3,704.2,0.107
11,1,113.4,602.7,0.104
12,1,117.9,708.3,0.102
13,1,96.4,636.9,
14,1,105,,0.109
15,1,127.6,696.9,0.103
16,1,99.4,616.9,0.1
17,1,106.8,620.3,0.109
18,1,,,0.122
19,1,97,659.9,0.111
20,0,104.7,615.3,0.104
21,1,113.2,,0.117
22,1,114.5,650.2,0.108
23,0,111.1,669.8,0.114
24,0,116,644.6,0.086
25,0,111.3,582.4,0.1
26,0,144.6,703,0.108
27,0,104.3,626.2,0.1
28,0,114.9,646.2,
29,0,119.9,633.1,0.11
30,0,119.5,705.1,0.102
31,0,125.4,674.2,0.081
32,0,,636.2,0.095
33,0,117.5,670.5,0.096
34,0,107.3,737.7,0.097
35,0,118,658.8,0.095
36,0,117.9,631.2,0.105
37,1,96,609,
38,1,106.7,624.6,0.096
39,1,110.1,653.7,0.095
40,0,101.9,670.3,0.115
41,0,121.2,641.8,0.081
42,0,96.8,619,0.098
43,0,103.3,627,0.083
44,0,111.9,696.3,0.094
45,1,110.7,601.1,0.124
46,1,103.1,651.3,0.106
47,1,106.8,660.4,0.096
88,0,124.6,730.2,0.091
94,1,101.9,719,0.121
94,0,119.7,746.1,0.087
97,0,132.8,695.2,0.09
99,0,136.7,697.9,0.071
100,0,127.2,645.5,0.081
105,1,,651,0.133
106,1,137.7,677.1,0.115
107,1,117.8,647,
109,1,109.4,714.7,0.122
110,0,123.5,684.3,0.108
111,0,144.3,710.4,
112,0,,715.2,0.109
113,0,124.7,654.1,0.098
114,0,119.4,729.8,0.08
115,1,125.2,697.7,0.117
121,0,133,694.7,0.084
126,1,115.5,,0.114
135,1,113.9,666,0.13
136,1,125.7,669,0.137
137,1,106.1,637,0.108
146,1,119.4,,0.125
147,1,120,679,0.132
300,0,,592.7,0.102
301,0,108.4,600.3,0.081
302,0,115.8,631.8,0.081
303,0,111.4,631.1,0.091
304,0,123.8,660.4,
305,0,133.2,668.7,0.078
306,0,114.8,638.4,0.089
308,1,106,589.9,0.108
309,1,122,,0.109
310,1,121.2,650.2,0.127
311,1,113.3,646.9,0.096
312,1,114.6,637.4,0.112
313,0,124.5,732.5,0.119
314,0,124.8,697.7,0.09
315,0,123.3,654.4,0.089
316,0,137.2,650.1,0.099
317,0,118,665.9,0.099
318,0,112.3,668.8,0.103
321,0,124.6,675.5,0.107
322,0,125.5,613,0.104
323,0,114.9,665.5,0.088
324,0,116.7,681.8,0.083
325,0,127.2,606.7,0.093
326,1,111.6,640.2,0.106
327,1,104.3,623.9,0.11
328,1,110.2,628.9,0.12
329,1,114.9,665.4,0.109
330,1,105.8,698,0.105
331,1,113.6,608.4,0.122
332,1,111.7,667.4,0.123
333,0,113.8,625.8,0.085
334,0,115.9,721.5,0.093
336,1,122.1,677.2,0.12
337,1,,692.1,0.13
338,1,115.9,692.5,0.13
339,1,112.6,643,0.12
340,1,117.3,659.8,0.107
342,0,135.8,630.8,0.076
343,0,123,622.3,0.084
344,0,126.5,667.3,0.075
347,0,115.3,598.7,
349,1,,613.2,0.114
351,1,123.2,675.8,0.131
352,1,113.6,733.4,0.199
353,1,114.5,621,0.109
355,1,104.3,635.6,0.091
356,1,,656.9,0.134
357,1,112.9,675.7,
358,1,122.1,673.6,0.127
360,0,117.2,716,0.089
361,0,112.8,648.7,0.076
363,0,122,,0.105
364,1,100.6,629.4,0.105
365,1,112.9,624.7,0.111
366,1,119.4,598.1,0.118
367,1,110.3,666.8,0.105
369,1,111.7,668.5,0.117
370,1,110.7,661.8,0.127
371,1,121.3,,0.107
372,1,108.8,664.7,0.091
374,1,120.8,680.6,0.124
375,1,113.6,654.9,
376,1,116.4,652.3,0.096
377,1,120,692.9,0.109
378,0,125.4,709.6,0.092
379,0,106.5,691.4,0.086
381,0,125.6,661.6,0.093
382,0,117.7,666.6,0.087
387,1,101.5,726,0.09
388,0,107.8,717,0.094
389,0,120.8,705.9,0.09
390,0,109.5,690,0.098
391,1,115.8,639.8,0.141
392,1,93.9,670.6,0.085
394,0,112.5,653.5,0.087
396,0,124.4,735.7,0.113
399,0,129.4,728,0.052
401,1,108.6,720.2,0.103
402,1,112.5,676.8,0.104
403,1,119.4,688,0.104
406,1,109.7,684.3,0.112
410,1,92.9,688,0.123
411,1,115.9,710.1,
412,0,111.9,698,0.071
413,0,114.3,,0.088
414,0,116.5,725.3,0.088
416,0,108.5,645.6,0.095
417,0,102,601.7,0.094
418,0,118,641.5,0.095
419,0,113.8,738.2,0.086
420,1,122.7,716.7,0.109
422,1,124.4,725.2,
423,1,99,605.2,0.112
424,1,98.2,625.1,0.112
425,1,112.3,692,0.137
426,1,100.7,667.2,0.131
427,1,114.3,748.5,0.091
430,0,113.8,693,0.114
431,0,,689,
432,0,106.2,586.2,0.083
433,0,114.8,691.3,0.086
434,0,117.7,674.9,0.08
435,0,116.1,686.1,0.09
436,0,123.7,694.1,
437,1,93.6,610.4,0.12
438,1,109.6,,0.136
439,0,102.6,533.3,0.118
440,1,107.8,662.9,0.204
441,1,,741,0.141
443,1,104.8,625.9,0.136
444,1,106.7,647.4,0.112
445,1,115.4,649.4,0.142
446,0,113.9,690.2,0.092
447,0,112.3,708.1,0.103
448,0,110.4,690.8,0.075
450,1,103.4,701.9,0.123
451,1,92.4,664.5,0.11
452,1,94.1,713.7,0.123
454,0,106.6,642.7,0.101
455,0,96,688,0.074
458,1,113.5,677.5,0.112
459,1,109.5,703.8,
460,1,111.3,658.8,0.106
462,0,100.6,597.2,0.08
463,0,124.3,699.4,0.107
465,1,109.4,751.1,0.125
466,1,104.9,697.6,0.111
467,1,112.1,652.9,0.138
468,1,117.6,635.7,0.124
469,0,110.3,688.5,0.099
470,0,118.5,676.2,0.098
471,0,116.9,702,0.1
472,0,110.2,607.4,0.085
473,1,117.4,671.5,0.122
474,1,112.1,672.2,0.132
475,1,102.8,,0.12
476,1,115.5,683.2,0.107
477,1,,652.6,
478,0,104.5,704.4,
479,0,105.8,660,0.124
480,0,106.2,617.5,0.104
481,0,117.5,688,0.107
482,0,130.7,669,0.102
483,1,,620.4,0.116
484,1,102.2,,0.093
485,1,119.2,618.7,0.109
486,1,107.3,560.6,